SITE,AGENCY,CITY,STATE,UTM_N,UTM_E,LATITUDE_N,LONGITUDE_W,BASE_HT_M,TOWER_HT_M,ANT_HT_M,SONDE,REGION,EQP,halfbeam,beamwidth(degrees)
SHV,NWS,SHREVEPORT,LA/Shreveport,3590720,420916,32.450833,-93.841389,83.21,30,113.21,,SHREVEPORT,RDA,0.008464847,0.97
SJT,NWS,SAN ANGELO,TX/San Angelo,3471720,358065,31.371389,-100.4925,576.07,30,606.07,,SAN ANGELO,RDA,0.008464847,0.97
SOX,NWS,SAN DIEGO,CA/Orange County,3742130,441157,33.817778,-117.63583,927,15,942,,SANTA ANA MTS,RDA,0.008464847,0.97
SRX,NWS,TULSA,OK/Western Arkansas,3906120,376183,35.290556,-94.361667,200,20,220,,WESTERN ARKANSAS,RDA,0.008464847,0.97
TBW,NWS,TAMPA BAY AREA,FL/Ruskin,3065370,361804,27.705556,-82.401667,12.5,20,32.5,,TAMPA,RDA,0.008464847,0.97
TFX,NWS,GREAT FALLS,MT/Great Falls,5256330,470961,47.459722,-111.38528,1140,15,1155,,GREAT FALLS,RDA,0.008464847,0.97
TLH,NWS,TALLAHASSEE,FL/Tallahassee,3365860,756635,30.3975,-84.328889,19.2,30,49.2,,TALLAHASSEE,RDA,0.008464847,0.97
TLX,NWS,OKLAHOMA CITY,OK/Norman,3911340,656524,35.333056,-97.277778,369.72,15,384.72,,NORMAN,RDA,0.008464847,0.97
TWX,NWS,TOPEKA,KS/Alma,4320080,739673,38.996944,-96.2325,416.66,10,426.66,,TOPEKA,RDA,0.008464847,0.97
TYX,AFWA,BURLINGTON,VT/TBD,4845040,438550,43.755833,-75.763333,562.66,30,592.66,74370,FT DRUM,RDA,0.008464847,0.97
UDX,NWS,RAPID CITY,SD/New Underwood,4888050,673636,44.125,-102.82972,939,30,969,,RAPID CITY,RDA,0.008464847,0.97
UEX,NWS,HASTINGS,NE/Webster County,4463520,547412,40.320833,-98.441944,602.28,20,622.28,,GRAND ISLAND,RDA,0.008464847,0.97
VAX,AFWA,TALLAHASSEE,FL/(Moody AFB),3419160,308672,30.890278,-83.001667,66,30,96,,MOODY AFB,RDA,0.008464847,0.97
VBX,AFWA,LOS ANGELES,CA/(Vandenberg AFB),3858170,738029,34.838056,-120.39694,383,25,408,,VANDENBERG AFB,RDA,0.008464847,0.97
VNX,AFWA,OKLAHOMA CITY,OK/(Vance AFB),4066480,577870,36.740833,-98.127778,368.81,10,378.81,,VANCE AFB,RDA,0.008464847,0.97
VTX,NWS,LOS ANGELES,CA/Ventura County,3809960,299692,34.411667,-119.17944,830.88,20,850.88,,LOS ANGELES,RDA,0.008464847,0.97
YUX,NWS,PHOENIX,AZ/Yuma,3597760,720168,32.495278,-114.65667,53.04,15,68.04,,YUMA (RDA 1),RDA,0.008464847,0.97
YUX,NWS,PHOENIX,AZ/Yuma,3597760,720168,32.495278,-114.65667,53.04,15,68.04,,YUMA (RDA 2),RDA,0.008464847,0.97
VWX,NWS,EVANSVILLE,IN,4234955,563398,38.2603901,-87.7246553,155.4,30,185.4,,,,0.008464847,0.97
